feature_set,n_features,n_signals,direction_accuracy,auc,wilson_lower,wilson_upper,sharpe,return_pct
base_only,21,3313,0.646332183484942,0.5542112165519226,0.6297999908491424,0.6623454167714341,-4.235530973416469,-0.09048077622223039
tda_only,16,348,0.3997998742620591,0.48467059689497327,0.3493344732161595,0.4517122816642154,-2.3239890446321185,0.0667974089196902
base_plus_tda,37,4266,0.6213620137041337,0.5418159498926093,0.6067672614356144,0.6358646980859312,-5.043153309115583,-0.13590804332595535
base_plus_shuffled_tda,37,3421,0.6417430899674138,0.5512458188609535,0.6254059223357197,0.6575268824819563,-5.279312782539849,-0.007233238357042181
