regime,symbol,direction_accuracy,tda_return_pct,tda_sharpe,tda_n_trades,n_signals,buy_hold_return_pct,outperformed_bh,scenario
0,ADA,0.716196991664972,0.028360292024181,-1.740609512115204,1,463,3.600658377342607,0.6,coinbase_taker
0,SOL,0.6304405267629567,0.08563019223104984,-3.2421465094790562,2,398,3.6134884291320475,0.2,coinbase_taker
1,ADA,0.6255074420340526,0.1467547866767438,-5.031606704469734,7,604,-11.885730161503968,0.8,coinbase_taker
1,SOL,0.713932593587766,-0.07271744525121804,-4.835251845982343,5,475,-7.686177109658729,0.8,coinbase_taker
2,ADA,0.7144927795679676,0.04764069761052259,-2.71293288389633,1,447,-4.820413375032928,0.8,coinbase_taker
2,SOL,0.7068954248366013,0.0,0.0,0,524,-5.767210393508931,0.6,coinbase_taker
0,ADA,0.716196991664972,0.03801496924080272,-1.778525105368138,1,463,3.600658377342607,0.6,binance_maker
0,SOL,0.6304405267629567,0.09818275952109712,-3.2558658169102146,2,398,3.6134884291320475,0.2,binance_maker
1,ADA,0.6255074420340526,0.18798092349508133,-4.962295006446831,7,604,-11.885730161503968,0.8,binance_maker
1,SOL,0.713932593587766,-0.04254050502515261,-4.840876248667616,5,475,-7.686177109658729,0.8,binance_maker
2,ADA,0.7144927795679676,0.05330411573427618,-2.559870165411792,1,447,-4.820413375032928,0.8,binance_maker
2,SOL,0.7068954248366013,0.0,0.0,0,524,-5.767210393508931,0.6,binance_maker
