horizon_periods,horizon_label,direction_accuracy,avg_abs_move_bps,gross_edge_bps,break_even_rt_cost_bps,binance_maker_rt_cost_bps,coinbase_taker_rt_cost_bps
1,1h,0.53624411820064,53.63333563967781,3.8877859128381607,3.8877859128381607,15,85
4,4h,0.5020422060851312,107.85568663141765,0.4405270791093636,0.4405270791093636,15,85
12,12h,0.5218495808667286,196.06618423216136,8.56792789522304,8.56792789522304,15,85
24,1d,0.5293695656593724,281.9822070582872,16.563389889946237,16.563389889946237,15,85
72,3d,0.6037617235687672,499.12348291827396,103.57982572249252,103.57982572249252,15,85
168,7d,0.6026655064635649,745.9877838433086,153.17442728781128,153.17442728781128,15,85
