group,n_features,mean_importance,sum_importance
tda_h0,8,0.005362499999999981,0.04289999999999985
tda_h1,8,0.0026874999999999746,0.021499999999999797
volatility,7,0.0024285714285714076,0.016999999999999852
returns,4,0.0029749999999999777,0.01189999999999991
trend,7,0.0014285714285714012,0.00999999999999981
volume,3,-0.0013000000000000344,-0.003900000000000103
