horizon,horizon_periods,model_type,prob_threshold,regime_filter,n_signals,mean_direction_acc,wilson_lower,wilson_upper,significant,mean_sharpe,mean_return_pct,mean_buy_hold_pct,pct_beat_bh,mean_n_trades,mean_win_rate,mean_max_dd_pct
1h,1,logistic,0.58,none,3216,0.5176315572884358,0.5004432373402055,0.534962232605434,True,-16.704485319689212,0.005985070989366863,1.9729238782492644,0.3142857142857143,4.571428571428571,0.5932823129251701,-0.14228122425146922
1h,1,logistic,0.58,vol_median,1754,0.48280922304049745,0.45957352215680575,0.5062937068251224,False,-14.516609678968068,0.03197572493239852,1.9729238782492644,0.2857142857142857,3.0285714285714285,0.5419047619047619,-0.13580912138354426
1h,1,logistic,0.62,none,1391,0.5161355742013409,0.48990505506683374,0.5423566759818306,False,-10.117569098197245,0.04745114575370619,1.9729238782492644,0.2857142857142857,2.4285714285714284,0.42738095238095236,-0.12822221682993298
1h,1,logistic,0.62,vol_median,927,0.5273723545489746,0.49532266734145824,0.5594664694301389,False,-8.095540921126249,0.09348765712735162,1.9729238782492644,0.3142857142857143,1.7714285714285714,0.4799999999999999,-0.12140430817828783
1h,1,logistic,0.65,none,801,0.5755633666826362,0.5410213561723686,0.609318811663042,True,-5.245482774554436,0.08435648807518348,1.9729238782492644,0.3142857142857143,1.3142857142857143,0.41142857142857137,-0.12701813441857232
1h,1,logistic,0.65,vol_median,608,0.541035085223847,0.5013750534776327,0.5803454629717977,True,-4.772417279052318,0.09996532411156389,1.9729238782492644,0.3142857142857143,1.0285714285714285,0.39285714285714285,-0.11055042971843064
1h,1,logistic,0.7,none,386,0.5476778248710152,0.49675340577679616,0.5955918263309004,False,-2.251266189434474,0.06000142686005556,1.9729238782492644,0.3142857142857143,0.7142857142857143,0.2523809523809524,-0.1135595337571706
1h,1,logistic,0.7,vol_median,329,0.5273146097775674,0.47189314165343116,0.5791822263618199,False,-2.242627292062659,0.07322476490818852,1.9729238782492644,0.3142857142857143,0.6571428571428571,0.2571428571428571,-0.1051928614136668
1h,1,rf,0.58,none,1417,0.5329006782310776,0.5067846682840352,0.5586695028500127,True,-14.727780012295762,-0.014094673046549972,1.9729238782492644,0.3142857142857143,3.1142857142857143,0.4619047619047618,-0.14085201343806597
1h,1,rf,0.58,vol_median,521,0.524478727484181,0.4810892505132802,0.5665441816019616,False,-9.671235740361432,0.01944884549796244,1.9729238782492644,0.3142857142857143,2.0285714285714285,0.5142857142857142,-0.1603839313529759
1h,1,rf,0.62,none,229,0.6029775145564139,0.538048831783603,0.6638052548470499,True,-5.634608596896801,-0.014620585281257537,1.9729238782492644,0.3142857142857143,1.0857142857142856,0.3619047619047619,-0.18458858492061708
1h,1,rf,0.62,vol_median,117,0.6486502386502386,0.5596196597083499,0.7300160360335676,True,-4.164801411558825,0.03988525873476962,1.9729238782492644,0.3142857142857143,0.7428571428571429,0.44285714285714284,-0.21390811444740407
1h,1,rf,0.65,none,51,0.6020408163265305,0.4708515898394834,0.7297265901824019,False,-2.9744248724858826,-0.020781881489582155,1.9729238782492644,0.3142857142857143,0.5142857142857142,0.2,-0.20905754533312507
1h,1,rf,0.65,vol_median,37,0.5857142857142857,0.43485964730229365,0.7365348180798572,False,-2.962166638578734,-0.016386317619295605,1.9729238782492644,0.3142857142857143,0.5142857142857142,0.2,-0.2094265223316573
1h,1,gbm,0.58,none,3139,0.5230428766257831,0.5056063130689727,0.5405302808063064,True,-17.04203434120893,-0.03177352492451403,1.9729238782492644,0.3142857142857143,8.114285714285714,0.5652185261296274,-0.17919102178707796
1h,1,gbm,0.58,vol_median,1533,0.5049318107428821,0.47988343072202166,0.5298768473560505,False,-13.944480265741682,0.015004481916668842,1.9729238782492644,0.3142857142857143,5.0285714285714285,0.571510790796505,-0.17713872658445246
1h,1,gbm,0.62,none,1449,0.4987999140107272,0.47325718657432914,0.524677894379077,False,-18.077382600976943,3.804168787630806e-05,1.9729238782492644,0.3142857142857143,4.514285714285714,0.5664812964812965,-0.19368962022709046
1h,1,gbm,0.62,vol_median,777,0.4960173081974598,0.46044899977948855,0.530586312291963,False,-9.035351711522713,0.030647222080054184,1.9729238782492644,0.3142857142857143,2.8285714285714287,0.4836734693877552,-0.18679094194846
1h,1,gbm,0.65,none,761,0.5409675326159538,0.5058710336697005,0.576498978145741,True,-7.5662547963012265,0.06168939564161503,1.9729238782492644,0.3142857142857143,2.942857142857143,0.481201814058957,-0.1858643399578357
1h,1,gbm,0.65,vol_median,436,0.5308605259053388,0.48291130706102586,0.5762009013917913,False,-5.222465603811922,0.07124180046551322,1.9729238782492644,0.3142857142857143,1.9714285714285715,0.4761904761904761,-0.19688169471831418
1h,1,gbm,0.7,none,247,0.5422402755974184,0.4802042497917791,0.6035139684753661,False,-7.517804164016739,0.025068698426366737,1.9729238782492644,0.3142857142857143,1.2857142857142858,0.32857142857142857,-0.24036211398699986
1h,1,gbm,0.7,vol_median,152,0.5364187796330654,0.46023838290825614,0.6167629496691474,False,-7.381468195273257,0.0413535762519495,1.9729238782492644,0.3142857142857143,0.9142857142857143,0.3476190476190476,-0.23860719112313475
4h,4,logistic,0.58,none,5245,0.5150407815616331,0.5014352091050881,0.5284761534749648,True,-14.892067306968372,0.0674360295762574,1.9729238782492644,0.2857142857142857,6.714285714285714,0.5496015888873031,-0.17027168457977004
4h,4,logistic,0.58,vol_median,2713,0.520397196363762,0.5016426377359195,0.5392136292500025,True,-13.338221863152153,0.0831097478576935,1.9729238782492644,0.3142857142857143,4.314285714285714,0.5921428571428572,-0.1630784697519937
4h,4,logistic,0.62,none,2964,0.5441515293404915,0.5262215319114473,0.5620581163228989,True,-9.187719549597006,0.08892594759437156,1.9729238782492644,0.2857142857142857,3.914285714285714,0.5320975056689343,-0.18390068920589844
4h,4,logistic,0.62,vol_median,1623,0.546969474533765,0.5228349814676123,0.5712122898079246,True,-7.274225077115821,0.09874401065301892,1.9729238782492644,0.3142857142857143,2.6285714285714286,0.5351020408163265,-0.17420337478502904
4h,4,logistic,0.65,none,2024,0.5302219276975182,0.5083586271814227,0.5518038670162007,True,-5.842531172626522,0.09307577260304718,1.9729238782492644,0.2857142857142857,2.742857142857143,0.5143197278911564,-0.20806713612426733
4h,4,logistic,0.65,vol_median,1201,0.5109190462870319,0.48297915889788784,0.5394304285232053,False,-5.268559989352349,0.10969902654480183,1.9729238782492644,0.3142857142857143,1.7428571428571429,0.5104761904761905,-0.19920830434262551
4h,4,logistic,0.7,none,1139,0.5163571433207963,0.4872145126343448,0.5451609316710975,False,-3.0771386101410494,0.09737962216618172,1.9729238782492644,0.3142857142857143,1.5714285714285714,0.2895238095238095,-0.20714331640229433
4h,4,logistic,0.7,vol_median,748,0.5236662574944603,0.4882423889857772,0.5596400463037956,False,-2.979753311388716,0.0904678060848615,1.9729238782492644,0.3142857142857143,1.1428571428571428,0.2738095238095238,-0.19817170478108134
4h,4,rf,0.58,none,3639,0.5308732379353217,0.5146768118179268,0.5470881599886805,True,-17.36058021484104,0.03501389112202943,1.9729238782492644,0.3142857142857143,3.4571428571428573,0.5983333333333333,-0.1378463645243136
4h,4,rf,0.58,vol_median,1081,0.5108998030895456,0.48085405131470627,0.5403472033137836,False,-17.2815516709236,0.06038061267897759,1.9729238782492644,0.3142857142857143,1.5714285714285714,0.5595238095238095,-0.16252312057918047
4h,4,rf,0.62,none,1755,0.5831546071693466,0.5596805631713347,0.6057692552535255,True,-13.184196063978138,0.03807524423042156,1.9729238782492644,0.3142857142857143,1.6857142857142857,0.5185714285714286,-0.1500897962548709
4h,4,rf,0.62,vol_median,469,0.5650664486582272,0.519816171638351,0.6091911285085928,True,-6.849715091989536,0.09904206766647716,1.9729238782492644,0.3142857142857143,0.9142857142857143,0.5428571428571428,-0.2000405121740707
4h,4,rf,0.65,none,1039,0.5034877082856853,0.4730103771566729,0.53370205256195,False,-8.9688992788125,0.028898727474879444,1.9729238782492644,0.3142857142857143,1.1428571428571428,0.38095238095238093,-0.16073731505670175
4h,4,rf,0.65,vol_median,293,0.57078523496259,0.5127332790261224,0.6253875891399577,True,-3.747164193251545,0.10355805419856859,1.9729238782492644,0.3142857142857143,0.6857142857142857,0.4142857142857143,-0.23596232396992578
4h,4,rf,0.7,none,428,0.5654723461747486,0.5180823300446276,0.6115948902781481,True,-3.452725156018841,0.023828427061613082,1.9729238782492644,0.3142857142857143,0.8,0.3,-0.1826632734551226
4h,4,rf,0.7,vol_median,143,0.6158751962323391,0.533619870091324,0.6911123020419958,True,-2.861176921456908,0.06801164339524617,1.9729238782492644,0.3142857142857143,0.5142857142857142,0.2857142857142857,-0.25075630591211556
4h,4,gbm,0.58,none,5490,0.5252556938166658,0.5120965289078505,0.5385055865852448,True,-11.699209172076682,0.04186889397208888,1.9729238782492644,0.3142857142857143,8.2,0.5567212945784374,-0.19308309851814712
4h,4,gbm,0.58,vol_median,2310,0.5026474292383168,0.4822205378574683,0.5229656428785775,False,-13.306135031191845,0.10607633472747972,1.9729238782492644,0.3142857142857143,4.685714285714286,0.6063780663780663,-0.17949867340818673
4h,4,gbm,0.62,none,3269,0.5314619474166151,0.5142220968334126,0.5484146066486644,True,-9.754807561806496,0.02732892791558956,1.9729238782492644,0.2857142857142857,4.542857142857143,0.5533333333333333,-0.22930196793268862
4h,4,gbm,0.62,vol_median,1286,0.4839018522162271,0.4564468105575675,0.5109910480158415,False,-9.935436894678292,0.0915669917505573,1.9729238782492644,0.3142857142857143,2.342857142857143,0.6015986394557823,-0.23193996133737887
4h,4,gbm,0.65,none,2261,0.5515319319828076,0.5309558932692421,0.5719210648915837,True,-7.318187931887568,0.06453024646436616,1.9729238782492644,0.3142857142857143,3.4571428571428573,0.5185034013605442,-0.23856286475134467
4h,4,gbm,0.65,vol_median,902,0.4980046353227885,0.46523185696251546,0.530352359280791,False,-6.052128719955701,0.16169739077337017,1.9729238782492644,0.3142857142857143,1.8857142857142857,0.560952380952381,-0.2466302200317152
4h,4,gbm,0.7,none,1180,0.5535212750324067,0.5248968404892079,0.581536330153014,True,-6.930266660234181,0.08000577097384934,1.9729238782492644,0.3142857142857143,1.9714285714285715,0.5442857142857142,-0.26131384083432646
4h,4,gbm,0.7,vol_median,503,0.5160550095553659,0.4732658748440697,0.5602751855884278,False,-4.3465271888037105,0.1301660690030821,1.9729238782492644,0.3142857142857143,1.1428571428571428,0.4761904761904761,-0.25843070057002643
12h,12,logistic,0.58,none,7056,0.5279290253388371,0.5162592188142999,0.5395493998775164,True,-9.083634208618733,0.10590333469753466,1.9729238782492644,0.2857142857142857,9.057142857142857,0.561630246504196,-0.2115241170537956
12h,12,logistic,0.58,vol_median,3594,0.5571030442788851,0.5407472215207512,0.5732099955197103,True,-9.438600950373738,0.0680120289398494,1.9729238782492644,0.2857142857142857,5.742857142857143,0.6311904761904762,-0.23008019327106508
12h,12,logistic,0.62,none,4980,0.5281898578718582,0.5142312361365406,0.5419503262814291,True,-8.062017386379217,0.08547696212368823,1.9729238782492644,0.2857142857142857,6.742857142857143,0.5517582417582417,-0.23527628358443414
12h,12,logistic,0.62,vol_median,2614,0.5514078942343773,0.532134567309907,0.5702398523085869,True,-8.112851867625322,0.07183640170326624,1.9729238782492644,0.2857142857142857,4.0285714285714285,0.6128571428571428,-0.263682328646203
12h,12,logistic,0.65,none,3745,0.5185173498249039,0.5025445665154127,0.5345335552261576,True,-7.181482958722563,0.07751801972562548,1.9729238782492644,0.2857142857142857,4.942857142857143,0.6000597814883529,-0.25982471984945826
12h,12,logistic,0.65,vol_median,2019,0.5573305222062889,0.5354517166540692,0.5787440840067853,True,-6.294437728967468,0.08079825348028409,1.9729238782492644,0.2857142857142857,2.914285714285714,0.6173129251700681,-0.29028639597721995
12h,12,logistic,0.7,none,2305,0.4843410314605196,0.46380654461173004,0.5045758665230359,False,-5.760627809995687,0.06516095207187243,1.9729238782492644,0.2857142857142857,3.257142857142857,0.495498866213152,-0.2936640849281515
12h,12,logistic,0.7,vol_median,1328,0.4797941144174092,0.4528965225702179,0.5065581109806738,False,-5.1332149106599205,0.0903351960215166,1.9729238782492644,0.2857142857142857,2.0285714285714285,0.44642857142857145,-0.2960342007937026
12h,12,rf,0.58,none,4839,0.5002665473252931,0.48622762053241825,0.514391850500344,False,-17.17244363369266,0.05426962884265744,1.9729238782492644,0.3142857142857143,3.8857142857142857,0.6122789115646258,-0.1292606184249381
12h,12,rf,0.58,vol_median,1953,0.4946657505524907,0.47248209421395015,0.5167863261246827,False,-14.87408438607179,0.08575417455943717,1.9729238782492644,0.2857142857142857,2.257142857142857,0.5880952380952381,-0.14435167857495418
12h,12,rf,0.62,none,2790,0.5042259846098099,0.4857555268274014,0.5228347959785786,False,-9.007468642196246,0.005094577155954231,1.9729238782492644,0.2857142857142857,1.7142857142857142,0.37517006802721087,-0.12873663177860697
12h,12,rf,0.62,vol_median,937,0.4706309667549394,0.438876516492046,0.5026651752729615,False,-4.310859896141257,0.06070134882904611,1.9729238782492644,0.2857142857142857,0.8571428571428571,0.2857142857142857,-0.13139146814712277
12h,12,rf,0.65,none,1891,0.5191472493283149,0.4967666615074731,0.5417589891004853,False,-5.237875922152059,0.014846181664795375,1.9729238782492644,0.2857142857142857,1.1142857142857143,0.3,-0.12733706173795234
12h,12,rf,0.65,vol_median,529,0.4581792577122132,0.4154722811369464,0.5000748309447677,False,-2.745360110420569,0.07907751813974866,1.9729238782492644,0.2857142857142857,0.6,0.2714285714285714,-0.15267595263657024
12h,12,rf,0.7,none,1037,0.54555428876343,0.5153877468242204,0.575884559053793,True,-2.2594867715882443,0.06796236963848346,1.9729238782492644,0.3142857142857143,0.6571428571428571,0.2523809523809524,-0.1583503857448035
12h,12,rf,0.7,vol_median,187,0.5677142566428282,0.49518486226432,0.6358139267539973,False,-1.447818337777234,0.12927045392282385,1.9729238782492644,0.3142857142857143,0.4,0.2857142857142857,-0.20922193951477291
12h,12,gbm,0.58,none,6912,0.5144331094021097,0.5026804105720121,0.5262387023357763,True,-10.948113096796737,0.060507650927706144,1.9729238782492644,0.3142857142857143,7.514285714285714,0.5239426446569303,-0.19604138934100415
