entry_step,entry_price,entry_time,side,units,size_pct,p_up_at_entry,entry_fee,exit_step,exit_price,exit_time,pnl,return_pct,scenario,symbol
1440,0.6240878,2025-07-09 22:00:00,short,-5867.337296441059,0.3661733625193848,0.1338266374806152,2.746300218895386,1608.0,0.7677837,2025-07-16 22:00:00,-849.2372480885173,-0.23192218086141086,binance_maker,ADA
1608,0.7670163,2025-07-16 22:00:00,short,-2817.038795569246,0.23597881268064413,0.26402118731935587,1.6205360054504845,1776.0,0.8144069999999999,2025-07-23 22:00:00,-136.84263854042104,-0.06333211885457962,binance_maker,ADA
1813,0.8109052499999999,2025-07-25 11:00:00,long,2338.258475770184,0.21051098710758098,0.710510987107581,1.4231469155809653,1981.0,0.7266365,2025-08-01 11:00:00,-199.73956381183612,-0.10534197773298476,binance_maker,ADA
1984,0.73513225,2025-08-01 14:00:00,short,-1805.504161790058,0.15058510877763487,0.34941489122236513,0.9954632526308171,2152.0,0.790395,2025-08-08 14:00:00,-101.84288446606273,-0.07673026919646078,binance_maker,ADA
2163,0.7976010000000001,2025-08-09 01:00:00,short,-2003.225647402272,0.18339220092390834,0.31660779907609166,1.1983310846952748,2331.0,0.9590793,2025-08-16 01:00:00,-326.1167423323527,-0.20410682813211092,binance_maker,ADA
2331,0.9581207,2025-08-16 01:00:00,short,-2144.2366521265417,0.24490762846881198,0.255092371531188,1.540828141575854,2499.0,0.9118556999999999,2025-08-23 01:00:00,96.19585475901596,0.04682345105371391,binance_maker,ADA
2499,0.9109443,2025-08-23 01:00:00,short,-1750.7593929942702,0.1879635288408903,0.3120364711591097,1.1961332172896928,2667.0,0.8148072,2025-08-30 01:00:00,166.0468991037804,0.10411480304009815,binance_maker,ADA
2711,0.8266131,2025-08-31 21:00:00,long,2294.9103056755416,0.21951028680207163,0.7195102868020716,1.4238200565397099,2879.0,0.8285855,2025-09-07 21:00:00,1.6765139780622027,0.0008837698448549771,binance_maker,ADA
2879,0.8294144999999999,2025-09-07 21:00:00,long,3578.6524860335585,0.3433005534126784,0.8433005534126784,2.227810554698985,3047.0,0.89385285,2025-09-14 21:00:00,225.9755593258514,0.07613253999257545,binance_maker,ADA
3082,0.8717356499999999,2025-09-16 08:00:00,long,2201.541417566194,0.21637872293436589,0.7163787229343659,1.4404519429401956,3250.0,0.82568695,2025-09-23 08:00:00,-104.1819102317969,-0.05428510084375059,binance_maker,ADA
3252,0.82288835,2025-09-23 10:00:00,short,-1626.8424834138368,0.1526128390102805,0.3473871609897195,1.004032295164736,3420.0,0.7891943999999999,2025-09-30 10:00:00,52.84779576566301,0.0394766652578083,binance_maker,ADA
3442,0.8295145499999999,2025-10-01 08:00:00,long,1784.4369868018075,0.16785995403415743,0.6678599540341574,1.1109955797675186,3610.0,0.8200897500000001,2025-10-08 08:00:00,-19.026506154774605,-0.012853867574894592,binance_maker,ADA
3670,0.7196400000000001,2025-10-10 20:00:00,short,-4290.418773854086,0.3506294373483762,0.1493705626516238,2.315667724812266,3838.0,0.6297147,2025-10-17 20:00:00,381.4752228113601,0.12355244841170598,binance_maker,ADA
3852,0.6348824000000001,2025-10-18 10:00:00,short,-2172.6136224317775,0.15013819160027841,0.3498618083997216,1.0345156131616358,4020.0,0.65102535,2025-10-25 10:00:00,-37.16772859736525,-0.026945747452598902,binance_maker,ADA
4021,0.65442705,2025-10-25 11:00:00,long,2535.6008085202598,0.18148632242586982,0.6814863224258698,1.2454584116318703,4189.0,0.61239365,2025-11-01 16:00:00,-108.98997081204186,-0.06568170419683791,binance_maker,ADA
4237,0.55942015,2025-11-03 16:00:00,short,-4396.7959590369965,0.2720535880426751,0.22794641195732493,1.844742191192903,4405.0,0.58139055,2025-11-10 16:00:00,-100.36129984526582,-0.04080297791382728,binance_maker,ADA
4541,0.50384795,2025-11-16 08:00:00,short,-2720.964261761997,0.15333816418007873,0.34666183581992127,1.0282141989840343,4709.0,0.41220599999999996,2025-11-23 08:00:00,247.48505828333313,0.18052055096681463,binance_maker,ADA
4709,0.411794,2025-11-23 08:00:00,short,-3733.9797679948797,0.1673229278519613,0.3326770721480387,1.1532228484362628,4877.0,0.41870925,2025-11-30 08:00:00,-28.147215340192023,-0.018305578608478954,binance_maker,ADA
4896,0.3860069,2025-12-01 03:00:00,short,-3963.666016751332,0.1670299360905158,0.3329700639094842,1.1475018238211472,5064.0,0.42321149999999996,2025-12-08 03:00:00,-149.87221229098392,-0.09795553861861013,binance_maker,ADA
5100,0.46676650000000003,2025-12-09 15:00:00,short,-2970.664540363302,0.15389339107504219,0.3461066089249578,1.0399550176346155,5268.0,0.39029505,2025-12-16 15:00:00,225.26149309854503,0.1624552186960719,binance_maker,ADA
5278,0.38450765000000003,2025-12-17 01:00:00,short,-3799.434456670578,0.15818540916738882,0.3418145908326112,1.0956837106975732,5446.0,0.36178079999999996,2025-12-24 01:00:00,84.22257144292507,0.05765069605897328,binance_maker,ADA
5446,0.3614192,2025-12-24 01:00:00,short,-4689.095299834716,0.181810984059661,0.318189015940339,1.2710468039925173,5614.0,0.35147565,2025-12-31 01:00:00,44.11912965086306,0.026033146170707094,binance_maker,ADA
5629,0.33283350000000006,2025-12-31 16:00:00,short,-4579.5380117021605,0.16277866800489066,0.33722133199510934,1.1431677486134033,5797.0,0.40370175,2026-01-07 16:00:00,-327.07358807856167,-0.2145837226045454,binance_maker,ADA
5800,0.4021988,2026-01-07 19:00:00,short,-3577.5844011083623,0.1592283802459432,0.3407716197540568,1.0791751147683766,5968.0,0.41530755,2026-01-14 19:00:00,-49.09118299220452,-0.03411715739206581,binance_maker,ADA
5988,0.39930025,2026-01-15 15:00:00,short,-3954.145650511885,0.17567411102391595,0.32432588897608405,1.1841685100893562,6156.0,0.35847914999999997,2026-01-22 15:00:00,159.1652974251928,0.10080826508373099,binance_maker,ADA
6168,0.36151915000000007,2026-01-23 03:00:00,short,-4008.909221661168,0.15844891236962255,0.34155108763037745,1.0869730906815804,6336.0,0.3247623,2026-01-30 03:00:00,145.29144489904655,0.10024956883335241,binance_maker,ADA
6351,0.32813585,2026-01-30 18:00:00,short,-4612.978944211182,0.16290056110466716,0.33709943889533284,1.1352628251681292,6519.0,0.27763875,2026-02-06 18:00:00,230.84623993767312,0.15250625327893924,binance_maker,ADA
6519,0.27736125000000006,2026-02-06 18:00:00,short,-6052.752295573483,0.17626075850593687,0.32373924149406313,1.2590992069804734,6687.0,0.27243615,2026-02-13 18:00:00,27.314569724716645,0.016270304341360124,binance_maker,ADA
6690,0.27356315000000003,2026-02-13 21:00:00,short,-5398.022964508893,0.15462451778309388,0.3453754822169061,1.1075251244575433,6858.0,0.28464225,2026-02-20 21:00:00,-62.065140402174876,-0.04202961564816004,binance_maker,ADA
6873,0.28265860000000004,2026-02-21 12:00:00,short,-6315.5839659130925,0.18814529382154888,0.3118547061784511,1.338865591490582,7041.0,0.26363175,2026-02-28 12:00:00,117.57806185043898,0.06586437574338809,binance_maker,ADA
7041,0.26336825,2026-02-28 12:00:00,short,-5610.012967308582,0.15378080224313218,0.3462191977568678,1.1081244732580264,7209.0,0.25762875,2026-03-07 12:00:00,30.006569481421003,0.020309024531240984,binance_maker,ADA
7209,0.25737125,2026-03-07 12:00:00,short,-5656.875941132174,0.15106701554200236,0.34893298445799764,1.0919379240480855,7377.0,0.2611305,2026-03-14 12:00:00,-23.465435937958524,-0.01611728704157901,binance_maker,ADA
7383,0.2593296,2026-03-14 18:00:00,long,6871.051114605583,0.1855130145260624,0.6855130145260624,1.337403255289132,7551.0,0.26436775,2026-03-21 18:00:00,31.917619675283667,0.01791245968494622,binance_maker,ADA
7749,0.2416791,2026-03-30 00:00:00,short,-6340.16145213907,0.15888137714523382,0.3411186228547662,1.1492133852057478,7917.0,0.2543271,2026-04-06 00:00:00,-82.54893158860122,-0.053873109631738796,binance_maker,ADA
7937,0.25217385000000003,2026-04-06 20:00:00,short,-5704.46441339051,0.15044640783882324,0.34955359216117676,1.0788875649845076,8105.0,0.23981984999999997,2026-04-13 20:00:00,68.36803294807996,0.04752675475668892,binance_maker,ADA
8144,0.24157915000000002,2026-04-15 11:00:00,short,-6991.322543640353,0.17538458928106015,0.32461541071893985,1.266718318101356,8312.0,0.25602795,2026-04-22 11:00:00,-103.62541997062974,-0.061354654675289576,binance_maker,ADA
8383,0.2537268,2026-04-25 10:00:00,long,6840.589669307578,0.18232952027167892,0.6823295202716789,1.3027077259743334,,,,,,binance_maker,ADA
1440,157.651135,2025-07-09 22:00:00,short,-13.556325970203485,0.21371701756325556,0.28628298243674444,1.6028776317244167,1608.0,173.97694499999997,2025-07-16 22:00:00,-224.68974585262177,-0.10513423236692816,binance_maker,SOL
1608,173.803055,2025-07-16 22:00:00,short,-20.021075282639007,0.3558633990391657,0.1441366009608343,2.609793036380736,1776.0,189.244575,2025-07-23 22:00:00,-314.60728734693606,-0.09041156222771801,binance_maker,SOL
1776,189.244575,2025-07-23 22:00:00,long,7.709188925071722,0.15424718603835086,0.6542471860383509,1.0950128959619,1944.0,176.25183,2025-07-30 22:00:00,-102.27760774813748,-0.070104909658419,binance_maker,SOL
2007,164.49220499999998,2025-08-02 13:00:00,long,9.10115896102007,0.1600903242891646,0.6600903242891646,1.1236450129249689,2175.0,179.7101,2025-08-09 13:00:00,136.15015879393718,0.09094443517817444,binance_maker,SOL
2175,179.8899,2025-08-09 13:00:00,long,8.16517934550991,0.15478514328681536,0.6547851432868154,1.1024518108174957,2343.0,187.42624,2025-08-16 13:00:00,59.285339250181686,0.040362197271682464,binance_maker,SOL
2350,189.1054,2025-08-16 20:00:00,short,-8.232106734047981,0.16294311379137616,0.33705688620862384,1.167551877588628,2518.0,203.77183499999998,2025-08-23 20:00:00,-123.16131382690007,-0.07911510155844295,binance_maker,SOL
2518,203.568165,2025-08-23 20:00:00,short,-9.769599400335029,0.21083668409780432,0.2891633159021957,1.4915845670334766,2686.0,200.770335,2025-08-30 20:00:00,24.371009414890125,0.012254254612945029,binance_maker,SOL
2688,201.33928,2025-08-30 22:00:00,short,-8.50132837621325,0.18102999070952308,0.3189700092904769,1.2837385007327589,2856.0,200.530215,2025-09-06 22:00:00,4.3158088366675145,0.002521429890630402,binance_maker,SOL
2858,201.32061,2025-09-07 00:00:00,long,7.416621361999481,0.15796367324388627,0.6579636732438863,1.120679562224243,3026.0,243.52817500000003,2025-09-14 00:00:00,310.5622314560424,0.2079956696108314,binance_maker,SOL
3027,246.04295999999997,2025-09-14 01:00:00,long,6.08013411843748,0.15323489209936514,0.6532348920993651,1.1228227638458956,3195.0,240.089895,2025-09-21 01:00:00,-38.41309045118281,-0.0256776424096517,binance_maker,SOL
3195,240.330105,2025-09-21 01:00:00,long,8.53797337392149,0.21097257440809802,0.710972574408098,1.540104106160938,3363.0,201.15937,2025-09-28 01:00:00,-337.26691658182676,-0.16436553961227385,binance_maker,SOL
